split,text,gold_id,gold_label,pred_id,pred_label,confidence,prob_sadness,prob_joy,prob_love,prob_anger,prob_fear,prob_surprise
test,i found myself feeling nostalgic as i thought about the temporarily abandoned little bishop chronicles,2,love,1,joy,0.9948108,0.0006536423,0.9948108,0.0022086701,0.0004838833,0.000881174,0.0009617953
test,i can t help but feel really nostalgic of the disney levels,2,love,1,joy,0.99279034,0.0007029814,0.99279034,0.0036509742,0.0007522684,0.0007873366,0.0013160472
test,i feel like in the last year especially i ve gone from a girl to a woman and despite how hesitant i have always been about getting older next year i will be twenty four i am surprised at how pleased i am to have done so,4,fear,5,surprise,0.99150646,0.00317575,0.0018347183,0.0009263119,0.00063799473,0.0019187735,0.99150646
test,i feel a strange gratitude for the hated israeli occupation of sinai that lasted from to for actually recognizing the importance of sinais history,5,surprise,1,joy,0.9908644,0.0013099579,0.9908644,0.004181368,0.0013813408,0.001172161,0.0010907855
test,i feel it is of vital importance and stress we show love towards one another and genuine love please people otherwise feel free to go cold on me i do not like being misled,1,joy,2,love,0.9904043,0.004886937,0.0016343249,0.9904043,0.0010394856,0.0008271285,0.0012078095
test,i feel blessed that i have people in my life who remind me all the time that i did the right thing and that i look better like this,2,love,1,joy,0.986558,0.00079573964,0.986558,0.010478749,0.0007774943,0.0007330798,0.0006569395
test,im sad if some people are unhappy about the flag for religious reasons but i know many religious people who do not feel it goes against their faith and they are very supportive,2,love,0,sadness,0.9859217,0.9859217,0.0004348552,0.00082346844,0.006572802,0.0032465665,0.003000631
test,i just went about my script of would you like mustard or sauce with that and started to feel really startled,4,fear,5,surprise,0.98530954,0.0053535514,0.0011940522,0.0012546433,0.0026548712,0.004233355,0.98530954
test,i am not proud to be british i am not glad to be young and i most certainly do not feel blessed by opportunity,1,joy,0,sadness,0.9851014,0.9851014,0.003021906,0.0025721204,0.0022201338,0.0022274386,0.004856995
test,i feel blessed to know this family,2,love,1,joy,0.985059,0.0003726505,0.985059,0.013489481,0.00035744472,0.00036486125,0.00035659078
test,i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,0,sadness,1,joy,0.98411185,0.0012434652,0.98411185,0.011905086,0.0009285703,0.0008645373,0.00094648387
test,i will admit with the joy of cooking there are also times where you feel defeated,0,sadness,1,joy,0.98394305,0.00064339646,0.98394305,0.010288548,0.00054523925,0.00050402945,0.004075692
test,im happy to report im still not feeling terribly stressed,0,sadness,1,joy,0.98364484,0.0010218055,0.98364484,0.007222366,0.0011444862,0.001163619,0.005802959
test,im enjoying my solitary confinement at home i rarely feel lonely,0,sadness,1,joy,0.9832447,0.001274396,0.9832447,0.00820672,0.0011862244,0.0011497529,0.0049381405
